"value" "AUC" "True prevalence" "type" "mean" "lower CI" "upper CI" "size.interval"
"343" 0.3157 "0.8" 0.04 "Max Youden - uncorrected" 0.0426019639014039 0.00425055928411636 0.0760120585701979 0.0717614992860815
"344" 0.0158 "0.8" 0.04 "High specificity - uncorrected" 0.0795787693126022 0.0335195530726251 0.118925831202047 0.0854062781294219
"345" 0.2839 "0.85" 0.04 "Max Youden - uncorrected" 0.0352343219694622 0.0068781047000383 0.061985018726592 0.0551069140265537
"346" 0.013 "0.85" 0.04 "High specificity - uncorrected" 0.0276189335095039 -0.00215053763440837 0.0557644110275684 0.0579149486619768
"347" 0.183 "0.9" 0.01 "Max Youden - uncorrected" 0.00649578985745902 -0.0140822784810125 0.0262195121951221 0.0403017906761346
"348" 0.0112 "0.9" 0.01 "High specificity - uncorrected" 0.00782295188070022 -0.0108974358974361 0.023958333333333 0.0348557692307691
"349" 0.2852 "0.85" 0.01 "Max Youden - uncorrected" -0.00148195069616219 -0.0327711766960521 0.0267133382461311 0.0594845149421832
"350" 0.0139 "0.85" 0.01 "High specificity - uncorrected" 0.0256820923387243 -0.0108695652173912 0.0531914893617018 0.064061054579093
"351" 0.3042 "0.85" 0.04 "Max Youden - uncorrected" 0.0399996939997441 0.0108611326609776 0.0674157303370785 0.0565545976761009
"352" 0.0134 "0.85" 0.04 "High specificity - uncorrected" 0.0320748688962816 0.00455373406193029 0.0604693140794217 0.0559155800174914
"353" 0.2383 "0.9" 0.04 "Max Youden - uncorrected" 0.0514618667776617 0.0284859930752282 0.0730780917654209 0.0445920986901927
"354" 0.0169 "0.9" 0.04 "High specificity - uncorrected" 0.0303853240174775 0.00261780104712013 0.0514311270125226 0.0488133259654025
"359" 0.1348 "0.95" 0.01 "Max Youden - uncorrected" -0.00428094142762502 -0.0207441113490365 0.0111613074674461 0.0319054188164826
"360" 0.0129 "0.95" 0.01 "High specificity - uncorrected" 0.00789033327060612 -0.00255827174530987 0.0186210367388024 0.0211793084841123
"361" 0.3764 "0.8" 0.04 "Max Youden - uncorrected" 0.0333682732907784 -0.00177619893428069 0.0666086199390508 0.0683848188733315
"362" 0.0125 "0.8" 0.04 "High specificity - uncorrected" 0.0327971429272512 -0.028806584362139 0.0788113695090439 0.107617953871183
"371" 0.3507 "0.8" 0.04 "Max Youden - uncorrected" 0.0573906618436015 0.0219298245614037 0.0922372437854339 0.0703074192240302
"372" 0.0148 "0.8" 0.04 "High specificity - uncorrected" 0.0624941767615792 0.0255102040816327 0.104166666666667 0.0786564625850343
"373" 0.2388 "0.9" 0.08 "Max Youden - uncorrected" 0.0884054533508432 0.0657599999999999 0.109215017064846 0.0434550170648461
