"row" "value" "AUC" "True prevalence" "type" "mean" "lower CI" "upper CI"
"73" 0.0233186074568866 "0.8" 0.01 "Mixture model" 0.0256174441269052 0.00329602154622664 0.0447093922212005
"74" 0.0122838944494992 "0.8" 0.01 "Max Youden - RG" 0.0100296846832359 -0.0277777777777777 0.0472972972972971
"75" 0.0260663507109002 "0.8" 0.01 "High specificity - RG" 0.0241753107156839 -0.020710059171597 0.0579710144927526
"76" 0.0698171268222249 "0.9" 0.08 "Mixture model" 0.0717600517595426 0.0575737853110986 0.0866387048809255
"77" 0.06736 "0.9" 0.08 "Max Youden - RG" 0.0692609618231204 0.0454397394136808 0.0921952736318407
"78" 0.0733333333333332 "0.9" 0.08 "High specificity - RG" 0.071253035046789 0.0445945945945942 0.0938133874239349
"79" 0.0577780142637378 "0.7" 0.04 "Mixture model" 0.0687527767367734 0.0250879682130897 0.107891284319405
"80" 0.0912208504801096 "0.7" 0.04 "Max Youden - RG" 0.0961449222610322 0.0394557823129254 0.148172323759791
"81" 0.10483870967742 "0.7" 0.04 "High specificity - RG" 0.0956236542140624 -0.0590909090909076 0.185975609756098
"82" 0.0850027616614048 "0.7" 0.08 "Mixture model" 0.0903260587273935 0.0460745176005886 0.13349260712803
"83" 0.103483606557377 "0.7" 0.08 "Max Youden - RG" 0.116009406385607 0.0524981897175958 0.173333333333333
"84" 0.115384615384611 "0.7" 0.08 "High specificity - RG" 0.0881678630162386 -0.147058823529411 0.216312056737588
"85" 0.00805723612044442 "0.7" 0.01 "Mixture model" 0.0217680288011466 6.47409586147421e-09 0.054298883174438
"86" -0.0487982520029136 "0.7" 0.01 "Max Youden - RG" -0.0370647312764604 -0.103485838779956 0.022306108442004
"87" 0.0946745562130203 "0.7" 0.01 "High specificity - RG" 0.0939709391707333 -0.0166666666666648 0.184444444444444
"88" 0.0499009481691813 "0.7" 0.04 "Mixture model" 0.0521020465312836 0.00442695808922945 0.0933056585252479
"89" 0.060677966101695 "0.7" 0.04 "Max Youden - RG" 0.0632075898129252 0.0100738750839493 0.115643964935941
"90" 0.0931677018633575 "0.7" 0.04 "High specificity - RG" 0.0895195313585619 -0.0758928571428588 0.207446808510639
"91" 0.0235771535738314 "0.7" 0.01 "Mixture model" 0.0330455130424369 6.47409586147421e-09 0.0652321364788617
"92" 0.00204778156996564 "0.7" 0.01 "Max Youden - RG" 0.00946248883583248 -0.0505338078291814 0.06914546640574
"93" 0.0474452554744553 "0.7" 0.01 "High specificity - RG" 0.0522584575340813 -0.106741573033708 0.175324675324678
"94" 0.0816818136203325 "0.8" 0.08 "Mixture model" 0.0860973078868193 0.0599818125414995 0.110495207496558
"95" 0.101603119584055 "0.8" 0.08 "Max Youden - RG" 0.100025530073451 0.0661247803163445 0.131414267834793
"96" 0.0700280112044833 "0.8" 0.08 "High specificity - RG" 0.0713016690009492 0.00617283950617216 0.116389548693587
"97" 0.0804466543698294 "0.75" 0.04 "Mixture model" 0.0855689463970883 0.0539899123849518 0.117158477814838
"98" 0.0826812728221181 "0.75" 0.04 "Max Youden - RG" 0.086623370394376 0.0448478376935396 0.127036659877801
"99" 0.0291262135922353 "0.75" 0.04 "High specificity - RG" 0.0330433790806746 -0.0333333333333327 0.0972762645914378
"100" 0.0838430172487802 "0.7" 0.08 "Mixture model" 0.0904821604291234 0.0495818098126335 0.128101163639117
